layer0,layer1,RMSE,MAE,MAPE
48,48,23.3201858806056,12.659983490995216,26.7439423450755
48,64,23.359381873391,12.173392667610193,22.05560291256144
48,80,23.49185856504182,12.432989568248868,23.72293889227265
48,96,23.17624526976401,12.032931760976044,20.973569485055528
48,112,23.486503455040264,12.737419413366615,22.86939527985182
64,48,23.325633121564202,12.286641652410431,21.30565877299034
64,64,134.64096084670825,96.71233818306793,100.0
64,80,23.10797174019985,11.957684364300002,20.888724945123116
64,96,23.4119750626698,12.734829831531687,26.260184446181118
64,112,23.264091700206276,12.339827019729379,23.786512533442952
80,48,23.280747160657114,12.38356095068656,24.450639992032116
80,64,23.511439199691452,12.339164045369083,20.761084846540008
80,80,23.363270273070697,12.188673224368856,21.93613316052474
80,96,23.283661925433083,12.249397277796183,21.97937834209801
80,112,24.909972335578423,14.961324245773827,26.186199567977685
96,48,23.26436515923749,12.013143218798536,20.856317781192512
96,64,134.64096084670825,96.71233818306793,100.0
96,80,23.403056690897962,12.76868526312354,26.423947214787404
96,96,23.200459241506614,12.19461050996981,23.19826143999382
96,112,23.193541613009433,11.970230107489614,20.4836638833055
112,48,23.36355289073437,12.124653289607334,22.45906320888488
112,64,23.53023930728152,12.753575502863344,24.360315676013585
112,80,23.450181964815407,12.567956507767594,23.075330082156945
112,96,23.740191107785257,12.513599648045734,23.063911208645436
112,112,23.23084280425072,12.249944071641888,22.291662903288927
